@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric

@data
176,'2017/06/08 10:58:38:313',2,542.328613,453.308167,50.75666,466.242126,449.855225,63.038345,397.350189,445.812103,63.564762,349.402649,436.879456,59.0965,303.831482,447.010834,50.98933,0
177,'2017/06/08 10:58:38:361',2,546.875305,454.465179,51.50032,472.161926,452.00296,64.311073,403.90863,447.019958,65.151642,355.028564,438.155243,60.965683,307.083008,446.287323,53.054543,0
178,'2017/06/08 10:58:38:411',2,546.535645,459.829926,52.21051,475.144104,455.517975,65.291023,408.059998,448.398071,66.391174,359.520905,438.486786,62.4683,309.520874,443.83728,54.746387,0
179,'2017/06/08 10:58:38:461',2,548.620972,461.681061,52.722126,477.936188,456.766998,66.097519,412.147949,448.035706,67.36647,364.070435,437.403473,63.610573,313.060425,441.076599,56.051205,0
180,'2017/06/08 10:58:38:511',2,550.197998,466.389801,53.287422,481.559937,458.56723,66.95726,418.317139,447.513641,68.389648,371.587341,435.996429,64.811081,319.32782,437.231628,57.458828,0
181,'2017/06/08 10:58:38:561',2,551.383179,471.466125,53.316631,485.870087,460.215271,67.302895,425.446747,447.776581,68.897011,379.875824,435.452911,65.496002,326.281921,435.074524,58.396809,0
182,'2017/06/08 10:58:38:611',2,551.899231,473.687378,53.262264,487.765991,460.339691,67.472641,429.244843,447.617157,69.153061,384.677124,434.814392,65.860298,330.433502,433.811829,58.9347,0
183,'2017/06/08 10:58:38:661',2,552.630859,472.530121,53.218166,488.829712,460.601257,67.675934,430.304382,449.047119,69.518433,385.178467,436.37384,66.38784,330.292206,436.399719,59.640572,0
184,'2017/06/08 10:58:38:710',2,552.05719,469.618195,53.247673,487.18985,460.518127,67.835167,426.88092,451.678894,69.750687,380.416016,440.279572,66.719666,325.655304,442.109833,60.038223,0
185,'2017/06/08 10:58:38:761',2,542.011658,457.899384,53.601414,479.37442,462.093567,68.072281,416.407837,457.82843,69.978127,368.244629,449.242462,67.037857,315.56192,452.709625,60.197746,0
186,'2017/06/08 10:58:38:811',2,537.083008,451.701904,53.636074,472.951508,461.066071,68.198486,408.796295,459.978271,69.980942,359.936371,453.884399,66.989548,309.175903,458.888916,60.014797,0
187,'2017/06/08 10:58:38:861',2,537.44989,445.897034,53.255466,470.312988,459.745361,68.156219,405.471649,460.365051,69.877373,356.115784,457.310089,66.780724,306.488464,463.322906,59.71949,0
188,'2017/06/08 10:58:38:911',2,540.91272,439.720825,52.50301,469.694092,458.128937,68.031891,404.305054,460.825073,69.716354,353.667236,459.366425,66.57193,304.790131,467.449799,59.409996,0
189,'2017/06/08 10:58:38:961',2,544.748535,433.437683,51.370758,472.859558,454.166565,67.384094,406.192657,459.525177,69.021805,352.646179,461.464447,65.717758,305.043671,472.428253,58.427761,0
190,'2017/06/08 10:58:39:012',2,549.995972,433.791443,50.540897,479.605042,453.643188,66.70594,411.231018,459.784698,68.392014,355.08905,462.933228,65.036697,307.400024,474.160126,57.718269,0
191,'2017/06/08 10:58:39:061',2,560.811584,436.639221,49.565372,486.931152,456.403717,66.134804,418.713318,461.435852,67.888428,363.017456,463.553864,64.634529,312.982697,474.3508,57.364128,0
192,'2017/06/08 10:58:39:111',2,562.109741,442.074097,49.712841,489.437714,458.77005,65.871162,421.603027,462.15979,67.656174,365.547333,462.622711,64.449043,314.7453,473.397949,57.233681,0
193,'2017/06/08 10:58:39:160',2,563.226624,445.063171,49.708805,490.867065,460.581299,65.71698,423.7388,463.026062,67.515717,367.824646,462.016724,64.363625,317.085297,472.942596,57.228306,0
194,'2017/06/08 10:58:39:211',2,563.638245,446.012024,49.919861,490.505798,461.324768,65.765007,423.627258,463.618073,67.486748,368.158356,461.977875,64.302185,318.678345,473.103821,57.170269,0
195,'2017/06/08 10:58:39:261',2,561.579468,447.108582,50.260841,489.720551,460.890808,65.78273,423.053894,463.107208,67.432083,368.212708,461.032074,64.211182,319.848694,472.526154,57.107212,0
196,'2017/06/08 10:58:39:311',2,558.705383,448.02124,50.662712,488.757538,460.34375,65.800659,422.37262,462.501587,67.397758,367.901001,460.371063,64.140732,320.39743,472.040894,57.038303,0
197,'2017/06/08 10:58:39:361',2,556.18335,447.06131,50.88932,487.610718,458.963837,65.766861,421.387604,461.313477,67.317108,367.381744,459.425323,64.029236,320.871216,471.200439,56.923626,0
198,'2017/06/08 10:58:39:411',2,551.954529,447.261047,51.064667,486.425415,458.05426,65.642181,420.281555,460.70755,67.189125,366.930786,459.279144,63.912266,320.882507,470.921082,56.835773,0
199,'2017/06/08 10:58:39:461',2,550.719543,447.053101,51.086636,485.131226,457.812134,65.584816,419.08844,460.53064,67.11161,366.395416,459.477081,63.826832,320.767273,470.954407,56.762817,0
200,'2017/06/08 10:58:39:511',2,550.004333,446.982269,51.088062,484.37558,457.937225,65.54274,418.441528,460.748566,67.055656,366.330505,459.858856,63.772087,320.87381,471.135162,56.716164,0
201,'2017/06/08 10:58:39:561',2,549.39801,447.122314,51.092934,483.778137,458.188965,65.497192,417.962158,461.315063,66.986023,366.344879,460.45871,63.703968,321.235718,471.529327,56.657993,0
202,'2017/06/08 10:58:43:162',3,542.603149,269.122467,49.609013,484.024109,261.647888,65.164001,426.617126,259.508362,68.551453,369.404877,251.498596,66.122124,303.269501,256.451355,60.042419,1
203,'2017/06/08 10:58:43:211',3,545.128967,270.659515,48.916473,489.755341,264.474915,64.662971,432.428497,262.712463,68.219826,375.221893,255.057312,65.972145,308.483826,259.571045,60.076439,1
204,'2017/06/08 10:58:43:261',3,553.156616,271.291656,47.416733,506.444153,268.616119,63.677666,450.042175,268.586975,67.728447,391.943237,263.437012,65.978699,323.408325,268.893066,60.636276,1
205,'2017/06/08 10:58:43:311',3,563.086548,269.425079,45.844208,529.492188,271.109741,62.649178,475.849396,273.704529,67.370506,416.402893,271.828491,66.318634,346.254333,279.981079,61.783947,1
206,'2017/06/08 10:58:43:361',3,568.116638,265.67923,44.745541,543.978271,271.008087,61.896141,492.396606,275.858154,67.044136,433.166382,275.871155,66.451805,363.532654,287.773315,62.421875,1
207,'2017/06/08 10:58:43:411',3,567.680786,262.873352,43.890541,549.247742,269.815735,61.157093,499.263367,275.755219,66.537979,440.661163,277.399719,66.196434,371.853027,291.742218,62.430656,1
208,'2017/06/08 10:58:43:462',3,564.26239,260.218994,43.219749,551.532959,268.047394,60.475342,503.421204,274.949524,66.047714,445.580841,278.707581,65.9673,378.30368,295.883667,62.397907,1
209,'2017/06/08 10:58:43:512',3,559.199524,258.568298,42.943455,549.772949,266.670105,60.069695,502.167603,273.416321,65.701584,445.57724,279.683258,65.785271,380.381042,298.811707,62.273869,1
210,'2017/06/08 10:58:43:562',3,554.808838,257.855164,43.412598,542.373474,265.14325,60.59531,492.822845,270.268738,66.03196,436.44516,278.002319,66.051666,372.687897,297.125916,62.413246,1
211,'2017/06/08 10:58:43:612',3,551.706116,258.633423,43.858959,534.916016,265.049896,60.980213,483.51767,269.341888,66.182671,427.101044,277.19574,66.007057,364.146545,295.632629,62.131466,1
212,'2017/06/08 10:58:43:663',3,548.038269,261.030701,44.540524,521.460449,265.892761,61.588848,466.464111,268.423401,66.276367,409.99411,275.232788,65.611084,348.228058,292.555817,61.255482,1
213,'2017/06/08 10:58:43:711',3,547.372437,264.655029,45.454517,511.721985,266.321472,62.186768,454.026184,266.892334,66.369705,397.100464,271.878601,65.222137,336.368988,288.344147,60.452499,1
214,'2017/06/08 10:58:43:761',3,549.338257,270.439758,46.215195,503.900635,267.700073,62.563328,444.291931,265.994202,66.202515,387.342621,268.959106,64.54364,327.31601,284.438782,59.38401,1
215,'2017/06/08 10:58:43:812',3,551.693726,274.700378,46.738064,500.179382,269.391541,62.823982,439.902191,266.052734,66.125809,383.255402,267.345093,64.135117,323.006165,281.334045,58.652386,1
216,'2017/06/08 10:58:43:862',3,555.252136,282.984924,47.211437,496.148468,272.125336,62.883671,435.748962,266.540253,65.781914,379.750214,265.600708,63.391983,319.403015,277.338348,57.518215,1
217,'2017/06/08 10:58:43:912',3,556.69104,289.990234,47.79052,489.745972,274.468628,63.033497,429.450623,266.492279,65.46701,374.715607,262.917755,62.576324,315.024475,271.998718,56.170769,1
218,'2017/06/08 10:58:43:961',3,554.982178,295.469696,48.075562,483.300049,274.287811,62.811497,424.11026,264.300049,64.836182,370.803955,258.179504,61.48328,312.105072,265.452515,54.681774,1
219,'2017/06/08 10:58:44:011',3,552.942932,298.677734,48.279182,478.908661,273.933258,62.621033,420.890656,262.787537,64.388809,368.588989,255.150848,60.727882,311.004181,261.473877,53.67643,1
220,'2017/06/08 10:58:44:062',3,552.162903,300.866608,48.314739,478.239349,274.428558,62.50108,421.812317,262.619446,64.20224,369.889038,253.17984,60.358604,312.503143,258.399841,53.190125,1
221,'2017/06/08 10:58:44:111',3,552.204224,304.685974,48.33614,480.492218,277.71109,62.671501,425.602234,265.386902,64.499146,373.776215,255.004395,60.671509,315.558228,258.52536,53.517368,1
