@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric

@data
674,'2017/06/08 10:54:29:341',9,547.468628,232.25473,54.208241,521.826843,141.086334,49.186214,456.658997,125.931122,45.261429,392.624481,138.271881,43.514473,321.199646,174.200958,41.479408,1
675,'2017/06/08 10:54:29:392',9,528.382935,227.663086,54.312252,501.762604,136.882904,48.965145,436.530609,122.463287,45.150295,372.347473,135.197876,43.282261,302.31427,171.619324,41.236748,1
676,'2017/06/08 10:54:29:441',9,503.253479,226.645569,54.175491,476.830322,135.439178,48.219467,412.292786,122.871979,45.192516,347.093506,135.82074,42.959526,278.464417,172.834045,40.671741,1
677,'2017/06/08 10:54:29:490',9,474.102081,232.948273,54.777599,451.344727,140.734619,49.109802,388.695984,128.213043,45.869762,324.533752,140.537933,42.825062,257.282166,177.257538,39.848225,1
678,'2017/06/08 10:54:29:541',9,452.294312,242.273193,54.36784,428.376923,149.140808,49.364723,367.292725,136.57077,45.869713,303.529602,148.97818,42.49931,238.077103,185.723969,38.978054,1
679,'2017/06/08 10:54:29:591',9,439.331787,249.927734,53.662979,411.989166,156.168365,49.179214,351.441223,144.146149,45.793388,287.437866,156.797272,42.28717,224.008514,193.586273,38.450371,1
680,'2017/06/08 10:54:29:641',9,420.145721,264.272644,53.68235,401.883179,170.086517,48.561466,344.246307,157.251038,44.767052,280.01825,168.741669,40.788151,215.799896,204.460846,36.916012,1
681,'2017/06/08 10:54:29:691',9,415.177704,269.281067,52.300861,391.073395,174.943909,47.829605,332.022888,162.521729,44.067398,266.928345,174.929596,40.036098,206.732529,210.900391,36.050911,1
682,'2017/06/08 10:54:29:741',9,412.937714,270.715118,50.725426,379.402588,176.517303,46.462799,318.067444,165.913605,43.069229,253.666168,180.298065,39.41267,196.532394,217.430145,35.225735,1
683,'2017/06/08 10:54:29:791',9,411.035828,276.239441,49.865444,374.449493,182.256104,45.558105,312.757324,172.336487,42.225685,249.284073,187.341156,38.567974,192.955704,225.483429,34.376488,1
684,'2017/06/08 10:54:29:842',9,412.507141,281.566101,48.630707,372.742493,187.950836,45.029007,311.153809,177.68988,41.692177,247.911346,192.95224,38.085213,191.948776,231.399475,33.765602,1
685,'2017/06/08 10:54:29:891',9,419.853149,294.040527,46.35207,376.108154,201.486755,44.523388,314.724823,188.96875,40.811863,251.41983,204.29776,37.329079,194.232635,242.908997,32.605068,1
686,'2017/06/08 10:54:29:941',9,430.300598,300.684998,45.499493,386.094513,214.759094,44.815769,320.043884,195.019501,40.243034,255.507584,209.843079,36.606647,192.911606,254.672272,31.855785,1
687,'2017/06/08 10:54:29:991',9,448.773438,308.064392,44.17012,400.924713,221.467987,44.059746,332.848267,202.701172,39.770344,267.814697,217.960571,36.433216,204.952057,262.352112,31.629484,1
688,'2017/06/08 10:54:30:041',9,472.415466,318.183197,42.89006,420.968719,230.394867,43.808922,350.255005,213.049164,39.978001,285.083954,228.639282,36.883614,222.776779,272.632385,32.084805,1
689,'2017/06/08 10:54:30:090',9,494.620544,325.199615,42.589272,442.731506,236.752533,43.77309,370.410645,220.425598,40.345001,304.979218,236.203339,37.520248,242.237762,279.786896,32.932758,1
